id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_account_report_annotation_readonly,account.account_report_annotation_readonly,model_account_report_annotation,account.group_account_readonly,1,0,0,0
access_account_report_annotation,account.account_report_annotation,model_account_report_annotation,account.group_account_user,1,1,1,1
access_account_report_annotation_invoice,account.account_report_annotation,model_account_report_annotation,account.group_account_invoice,1,0,0,0
access_account_reports_export_wizard,access.account_reports.export.wizard,model_account_reports_export_wizard,account.group_account_user,1,1,1,0
access_account_reports_export_wizard_format,access.account_reports.export.wizard.format,model_account_reports_export_wizard_format,account.group_account_user,1,1,1,0
access_account_report_file_download_error_wizard,account.report.file.download.error.wizard,model_account_report_file_download_error_wizard,account.group_account_user,1,1,1,0
access_account_multicurrency_revaluation_wizard,access.account.multicurrency.revaluation.wizard,model_account_multicurrency_revaluation_wizard,account.group_account_user,1,1,1,0
access_account_tax_unit_basic,access_account_tax_unit_basic,model_account_tax_unit,account.group_account_basic,1,0,0,0
access_account_tax_unit_readonly,access_account_tax_unit_readonly,model_account_tax_unit,account.group_account_readonly,1,0,0,0
access_account_tax_unit_manager,access_account_tax_unit_manager,model_account_tax_unit,account.group_account_manager,1,1,1,1
access_account_report_horizontal_group_basic,account.report.horizontal.group.basic,model_account_report_horizontal_group,account.group_account_basic,1,0,0,0
access_account_report_horizontal_group_readonly,account.report.horizontal.group.readonly,model_account_report_horizontal_group,account.group_account_readonly,1,0,0,0
access_account_report_horizontal_group_ac_user,account.report.horizontal.group.ac.user,model_account_report_horizontal_group,account.group_account_manager,1,1,1,1
access_account_report_horizontal_group_rule_basic,account.report.horizontal.group.rule.basic,model_account_report_horizontal_group_rule,account.group_account_basic,1,0,0,0
access_account_report_horizontal_group_rule_readonly,account.report.horizontal.group.rule.readonly,model_account_report_horizontal_group_rule,account.group_account_readonly,1,0,0,0
access_account_report_horizontal_group_rule_ac_user,account.report.horizontal.group.rule.ac.user,model_account_report_horizontal_group_rule,account.group_account_manager,1,1,1,1
access_account_report_budget_readonly,account.report.budget.readonly,model_account_report_budget,account.group_account_readonly,1,0,0,0
access_account_report_budget_ac_user,account.report.budget.ac.user,model_account_report_budget,account.group_account_manager,1,1,1,1
access_account_report_budget_item_readonly,account.report.budget.item.readonly,model_account_report_budget_item,account.group_account_readonly,1,0,0,0
access_account_report_budget_item_ac_user,account.report.budget.item.ac.user,model_account_report_budget_item,account.group_account_manager,1,1,1,1
access_account_report_send,access.account.report.send,model_account_report_send,account.group_account_invoice,1,1,1,1
access_account_return_basic,account.return.basic,model_account_return,account.group_account_basic,1,0,0,0
access_account_return_readonly,account.return.readonly,model_account_return,account.group_account_readonly,1,0,0,0
access_account_return_acc_user,account.return.acc.user,model_account_return,account.group_account_user,1,1,1,1
access_account_return_check_basic,account.return.check.basic,model_account_return_check,account.group_account_basic,1,0,0,0
access_account_return_check_readonly,account.return.check.readonly,model_account_return_check,account.group_account_readonly,1,0,0,0
access_account_return_check_acc_user,account.return.check.acc.user,model_account_return_check,account.group_account_user,1,1,1,1
access_account_return_check_template_acc_user,account.return.check.template.acc.user,model_account_return_check_template,account.group_account_user,1,1,1,1
access_account_return_type_basic,account.return.type.basic,model_account_return_type,account.group_account_basic,1,0,0,0
access_account_return_type_readonly,account.return.type.readonly,model_account_return_type,account.group_account_readonly,1,0,0,0
access_account_return_type_acc_manager,account.return.type.acc.manager,model_account_return_type,account.group_account_manager,1,1,1,1
access_account_return_creation_wizard_acc_user,account.return.creation.wizard.acc.user,model_account_return_creation_wizard,account.group_account_user,1,1,1,1
access_account_return_submission_wizard_acc_user,account.return.submission.wizard.acc.user,model_account_return_submission_wizard,account.group_account_user,1,1,1,1
access_account_return_payment_wizard_acc_user,account.return.payment.wizard.acc.user,model_account_return_payment_wizard,account.group_account_user,1,1,1,1
account_reports.access_qr_code_payment_wizard_user,access.qr.code.payment.wizard.user,account_reports.model_qr_code_payment_wizard,base.group_user,1,0,0,0
access_account_audit_account_status_acc_user,access.account.audit.account.status.user,account_reports.model_account_audit_account_status,base.group_user,1,1,1,0
