id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_equity_transaction_admin,equity.transaction.admin,model_equity_transaction,base.group_system,1,1,1,1
access_equity_transaction_manager,equity.transaction.manager,model_equity_transaction,equity.group_equity_manager,1,1,1,0
access_equity_transaction_viewer,equity.transaction.viewer,model_equity_transaction,equity.group_equity_viewer,1,0,0,0
access_equity_transaction_portal,equity.transaction.portal,model_equity_transaction,base.group_portal,1,0,0,0
access_equity_transaction_internal,equity.transaction.internal,model_equity_transaction,base.group_user,1,0,0,0
access_equity_security_class_admin,equity.security.class.admin,model_equity_security_class,base.group_system,1,1,1,1
access_equity_security_class_manager,equity.security.class.manager,model_equity_security_class,equity.group_equity_manager,1,1,1,0
access_equity_security_class_viewer,equity.security.class.viewer,model_equity_security_class,equity.group_equity_viewer,1,0,0,0
access_equity_valuation_admin,equity.valuation.admin,model_equity_valuation,base.group_system,1,1,1,1
access_equity_valuation_manager,equity.valuation.manager,model_equity_valuation,equity.group_equity_manager,1,1,1,0
access_equity_valuation_viewer,equity.valuation.viewer,model_equity_valuation,equity.group_equity_viewer,1,0,0,0
access_equity_ubo_manager,equity.ubo.manager,model_equity_ubo,equity.group_equity_manager,1,1,1,1
access_equity_ubo_viewer,equity.ubo.viewer,model_equity_ubo,equity.group_equity_viewer,1,0,0,0
access_equity_cap_table_viewer,equity.cap.table.viewer,model_equity_cap_table,equity.group_equity_viewer,1,0,0,0
