id,product_id
veterinary_services,hr_expense.product_product_no_cost
landscaping_services,hr_expense.product_product_no_cost
general_services,hr_expense.product_product_no_cost
heating_plumbing_a_c,hr_expense.product_product_no_cost
electrical_services,hr_expense.product_product_no_cost
masonry_stonework_and_plaster,hr_expense.product_product_no_cost
carpentry_services,hr_expense.product_product_no_cost
roofing_siding_sheet_metal,hr_expense.product_product_no_cost
concrete_work_services,hr_expense.product_product_no_cost
special_trade_services,hr_expense.product_product_no_cost
miscellaneous_publishing_and_printing,hr_expense.product_product_no_cost
typesetting_plate_making_and_related_services,hr_expense.product_product_no_cost
specialty_cleaning,hr_expense.product_product_no_cost
railroads,hr_expense.expense_product_travel_accommodation
commuter_transport_and_ferries,hr_expense.expense_product_travel_accommodation
passenger_railways,hr_expense.expense_product_travel_accommodation
ambulance_services,hr_expense.expense_product_travel_accommodation
taxicabs_limousines,hr_expense.expense_product_travel_accommodation
bus_lines,hr_expense.expense_product_travel_accommodation
motor_freight_carriers_and_trucking,hr_expense.expense_product_travel_accommodation
courier_services,hr_expense.product_product_no_cost
public_warehousing_and_storage,hr_expense.product_product_no_cost
cruise_lines,hr_expense.expense_product_travel_accommodation
boat_rentals_and_leases,hr_expense.expense_product_travel_accommodation
marinas_service_and_supplies,hr_expense.expense_product_travel_accommodation
airlines_air_carriers,hr_expense.expense_product_travel_accommodation
airports_flying_fields,hr_expense.expense_product_travel_accommodation
travel_agencies_tour_operators,hr_expense.expense_product_travel_accommodation
t_ui_travel_germany,hr_expense.expense_product_travel_accommodation
tolls_bridge_fees,hr_expense.expense_product_travel_accommodation
transportation_services,hr_expense.expense_product_travel_accommodation
telecommunication_equipment_and_telephone_sales,hr_expense.expense_product_communication
telecommunication_services,hr_expense.expense_product_communication
computer_network_services,hr_expense.expense_product_communication
telegraph_services,hr_expense.expense_product_communication
wires_money_orders,hr_expense.product_product_no_cost
cable_satellite_and_other_pay_television_and_radio,hr_expense.expense_product_communication
utilities,hr_expense.product_product_no_cost
motor_vehicle_supplies_and_new_parts,hr_expense.product_product_no_cost
office_and_commercial_furniture,hr_expense.product_product_no_cost
construction_materials,hr_expense.product_product_no_cost
photographic_photocopy_microfilm_equipment_and_supplies,hr_expense.product_product_no_cost
computers_peripherals_and_software,hr_expense.product_product_no_cost
commercial_equipment,hr_expense.product_product_no_cost
medical_dental_ophthalmic_and_hospital_equipment_and_supplies,hr_expense.product_product_no_cost
metal_service_centers,hr_expense.product_product_no_cost
electrical_parts_and_equipment,hr_expense.product_product_no_cost
hardware_equipment_and_supplies,hr_expense.product_product_no_cost
plumbing_heating_equipment_and_supplies,hr_expense.product_product_no_cost
industrial_supplies,hr_expense.product_product_no_cost
precious_stones_and_metals_watches_and_jewelry,hr_expense.product_product_no_cost
durable_goods,hr_expense.product_product_no_cost
drugs_drug_proprietaries_and_druggist_sundries,hr_expense.product_product_no_cost
piece_goods_notions_and_other_dry_goods,hr_expense.product_product_no_cost
uniforms_commercial_clothing,hr_expense.product_product_no_cost
commercial_footwear,hr_expense.product_product_no_cost
chemicals_and_allied_products,hr_expense.product_product_no_cost
petroleum_and_petroleum_products,hr_expense.product_product_no_cost
books_periodicals_and_newspapers,hr_expense.product_product_no_cost
florists_supplies_nursery_stock_and_flowers,hr_expense.product_product_no_cost
paints_varnishes_and_supplies,hr_expense.product_product_no_cost
nondurable_goods,hr_expense.product_product_no_cost
home_supply_warehouse_stores,hr_expense.product_product_no_cost
lumber_building_materials_stores,hr_expense.product_product_no_cost
glass_paint_and_wallpaper_stores,hr_expense.product_product_no_cost
hardware_stores,hr_expense.product_product_no_cost
nurseries_lawn_and_garden_supply_stores,hr_expense.product_product_no_cost
marketplaces,hr_expense.product_product_no_cost
mobile_home_dealers,hr_expense.product_product_no_cost
wholesale_clubs,hr_expense.product_product_no_cost
duty_free_stores,hr_expense.expense_product_travel_accommodation
discount_stores,hr_expense.product_product_no_cost
department_stores,hr_expense.product_product_no_cost
variety_stores,hr_expense.product_product_no_cost
miscellaneous_general_merchandise,hr_expense.product_product_no_cost
grocery_stores_supermarkets,hr_expense.expense_product_meal
freezer_and_locker_meat_provisioners,hr_expense.expense_product_meal
candy_nut_and_confectionery_stores,hr_expense.expense_product_meal
dairy_products_stores,hr_expense.expense_product_meal
bakeries,hr_expense.expense_product_meal
miscellaneous_food_stores,hr_expense.expense_product_meal
car_and_truck_dealers_new_used,hr_expense.product_product_no_cost
car_and_truck_dealers_used_only,hr_expense.product_product_no_cost
auto_and_home_supply_stores,hr_expense.product_product_no_cost
automotive_tire_stores,hr_expense.product_product_no_cost
automotive_parts_and_accessories_stores,hr_expense.product_product_no_cost
service_stations,hr_expense.expense_product_travel_accommodation
automated_fuel_dispensers,hr_expense.expense_product_travel_accommodation
boat_dealers,hr_expense.product_product_no_cost
electric_vehicle_charging,hr_expense.product_product_no_cost
motorcycle_shops_dealers,hr_expense.product_product_no_cost
motorcycle_shops_and_dealers,hr_expense.product_product_no_cost
motor_homes_dealers,hr_expense.product_product_no_cost
snowmobile_dealers,hr_expense.product_product_no_cost
miscellaneous_auto_dealers,hr_expense.product_product_no_cost
mens_and_boys_clothing_and_accessories_stores,hr_expense.product_product_no_cost
womens_ready_to_wear_stores,hr_expense.product_product_no_cost
womens_accessory_and_specialty_shops,hr_expense.product_product_no_cost
childrens_and_infants_wear_stores,hr_expense.product_product_no_cost
family_clothing_stores,hr_expense.product_product_no_cost
sports_and_riding_apparel_stores,hr_expense.product_product_no_cost
shoe_stores,hr_expense.product_product_no_cost
furriers_and_fur_shops,hr_expense.product_product_no_cost
mens_womens_clothing_stores,hr_expense.product_product_no_cost
tailors_alterations,hr_expense.product_product_no_cost
wig_and_toupee_stores,hr_expense.product_product_no_cost
miscellaneous_apparel_and_accessory_shops,hr_expense.product_product_no_cost
furniture_home_furnishings_and_equipment_stores_except_appliances,hr_expense.product_product_no_cost
floor_covering_stores,hr_expense.product_product_no_cost
drapery_window_covering_and_upholstery_stores,hr_expense.product_product_no_cost
fireplace_fireplace_screens_and_accessories_stores,hr_expense.product_product_no_cost
