id,name,model_id/id,group_id/id,perm_read,perm_write,perm_create,perm_unlink
hr_expense_stripe_card_system,hr_expense_stripe_card_system,model_hr_expense_stripe_card,base.group_system,1,1,1,1
hr_expense_stripe_card_admin,hr_expense_stripe_card_admin,model_hr_expense_stripe_card,hr_expense.group_hr_expense_manager,1,1,1,0
hr_expense_stripe_card_user,hr_expense_stripe_card_user,model_hr_expense_stripe_card,base.group_user,1,0,0,0
hr_expense_stripe_cardholder_wizard_admin,hr_expense_stripe_cardholder_wizard_admin,model_hr_expense_stripe_cardholder_wizard,hr_expense.group_hr_expense_manager,1,1,1,1
hr_expense_stripe_card_receive_wizard,hr_expense_stripe_card_receive_wizard,model_hr_expense_stripe_card_receive_wizard,base.group_user,1,1,1,1
hr_expense_stripe_card_block_wizard_admin,hr_expense_stripe_card_block_wizard_admin,model_hr_expense_stripe_card_block_wizard,hr_expense.group_hr_expense_manager,1,1,1,1
product_mcc_stripe_tag_system,product_mcc_stripe_tag_system,model_product_mcc_stripe_tag,base.group_system,1,1,1,1
product_mcc_stripe_tag_hr,product_mcc_stripe_tag_hr,model_product_mcc_stripe_tag,hr_expense.group_hr_expense_manager,1,1,0,0
product_mcc_stripe_tag_user,product_mcc_stripe_tag_user,model_product_mcc_stripe_tag,base.group_user,1,0,0,0
hr_expense_stripe_topup_wizard_accountant,hr_expense_stripe_topup_wizard_accountant,model_hr_expense_stripe_topup_wizard,account.group_account_basic,1,1,1,1
