"id","fiscal_category_id","rate_ids/rate","rate_ids/date_from"
"a241000","l10n_be_fiscal_categories.demo_fiscal_category_1205","",""
"a241100","l10n_be_fiscal_categories.demo_fiscal_category_1205","",""
"a610200","l10n_be_fiscal_categories.demo_fiscal_category_1205","",""
"a610210","l10n_be_fiscal_categories.demo_fiscal_category_1205","0","2025-01-01"
"a610211","l10n_be_fiscal_categories.demo_fiscal_category_1205","0","2025-01-01"
"a610212","l10n_be_fiscal_categories.demo_fiscal_category_1205","0","2025-01-01"
"a610213","l10n_be_fiscal_categories.demo_fiscal_category_1205","0","2025-01-01"
"a610220","l10n_be_fiscal_categories.demo_fiscal_category_1205","",""
"a61031","l10n_be_fiscal_categories.demo_fiscal_category_1205","0","2025-01-01"
"a611201","l10n_be_fiscal_categories.demo_fiscal_category_1205","",""
"a612901","l10n_be_fiscal_categories.demo_fiscal_category_1205","",""
"a61291","l10n_be_fiscal_categories.demo_fiscal_category_1205","",""
"a613311","l10n_be_fiscal_categories.demo_fiscal_category_1073","20","2025-01-01"
"a61440","l10n_be_fiscal_categories.demo_fiscal_category_1205","",""
"a616506","l10n_be_fiscal_categories.demo_fiscal_category_1205","",""
"a616510","l10n_be_fiscal_categories.demo_fiscal_category_1205","75","2025-01-01"
"a616540","l10n_be_fiscal_categories.demo_fiscal_category_1207","50","2025-01-01"
"a616541","l10n_be_fiscal_categories.demo_fiscal_category_1207","50","2025-01-01"
"a623401","l10n_be_fiscal_categories.demo_fiscal_category_1207","50","2025-01-01"
"a616580","l10n_be_fiscal_categories.demo_fiscal_category_1208","50","2025-01-01"
"a62361","l10n_be_fiscal_categories.demo_fiscal_category_1208","31","2025-01-01"
"a640200","l10n_be_fiscal_categories.demo_fiscal_category_1205","",""
"a6450","l10n_be_fiscal_categories.demo_fiscal_category_1203","100","2025-01-01"
