id,name,name@fr,name@nl,name@de,xbrl_code,zip_start,zip_end
brussels_fr,"Brussels, French-speaking","Bruxelles, francophone","Brussel, Franstalige","Brüssel, französischsprachig",m31,1000,1299
walloon,Walloon Brabant,Brabant wallon,Waals Brabant,Wallonisch-Brabant,m21,1300,1499
brussels_nl,"Brussels, Dutch-speaking","Bruxelles, néerlandophone","Brussel, Nederlandstalige","Brüssel, niederländischsprachig",m32,1500,1999
antwerp_antwerp_1,"Antwerp, division Antwerp","Anvers, division Anvers","Antwerpen, afdeling Antwerpen","Antwerpen, Abteilung Antwerpen",m03,2000,2199
antwerp_turnhout,"Antwerp, division Turnhout","Anvers, division Turnhout","Antwerpen, afdeling Turnhout","Antwerpen, Abteilung Turnhout",m27,2200,2499
antwerp_mechelen_1,"Antwerp, division Mechelen","Anvers, division Malines","Antwerpen, afdeling Mechelen","Antwerpen, Abteilung Mecheln",m17,2500,2599
antwerp_antwerp_2,"Antwerp, division Antwerp","Anvers, division Anvers","Antwerpen, afdeling Antwerpen","Antwerpen, Abteilung Antwerpen",m03,2600,2699
antwerp_mechelen_2,"Antwerp, division Mechelen","Anvers, division Malines","Antwerpen, afdeling Mechelen","Antwerpen, Abteilung Mecheln",m17,2800,2899
leuven,Leuven,Louvain,Leuven,Löwen,m14,3000,3499
antwerp_hasselt_1,"Antwerp, division Hasselt","Anvers, division Hasselt","Antwerpen, afdeling Hasselt","Antwerpen, Abteilung Hasselt",m10,3500,3699
antwerp_tongeren,"Antwerp, division Tongeren","Anvers, division Tongres","Antwerpen, afdeling Tongeren","Antwerpen, Abteilung Tongern",m25,3700,3899
antwerp_hasselt_2,"Antwerp, division Hasselt","Anvers, division Hasselt","Antwerpen, afdeling Hasselt","Antwerpen, Abteilung Hasselt",m10,3900,3999
liege_liege,"Liège, division Liège","Liège, division Liège","Luik, afdeling Luik","Lüttich, Abteilung Lüttich",m15,4000,4499
liege_huy,"Liège, division Huy","Liège, division Huy","Luik, afdeling Hoei","Lüttich, Abteilung Huy",m11,4500,4599
eupen,Eupen,Eupen,Eupen,Eupen,m30,4700,4799
liege_verviers,"Liège, division Verviers","Liège, division Verviers","Luik, afdeling Verviers","Lüttich, Abteilung Verviers",m28,4800,4999
liege_namur,"Liège, division Namur","Liège, division Namur","Luik, afdeling Namen","Lüttich, Abteilung Namur",m19,5000,5499
liege_dinant,"Liège, division Dinant","Liège, division Dinant","Luik, afdeling Dinant","Lüttich, Abteilung Dinant",m08,5500,5599
hainaut_charleroi,"Hainaut, division Charleroi","Hainaut, division Charleroi","Henegouwen, afdeling Charleroi","Hennegau, Abteilung Charleroi",m06,6000,6299
liege_arlon,"Liège, division Arlon","Liège, division Arlon","Luik, afdeling Aarlen","Lüttich, Abteilung Arlon",m04,6600,6799
liege_neufchateau,"Liège, division Neufchâteau","Liège, division Neufchâteau","Luik, afdeling Neufchâteau","Lüttich, Abteilung Neufchâteau",m20,6800,6899
liege_marche_en_famenne,"Liège, division Marche-en-Famenne","Liège, division Marche-en-Famenne","Luik, afdeling Marche-en-Famenne","Lüttich, Abteilung Marche-en-Famenne",m16,6900,6999
hainaut_mons,"Hainaut, division Mons","Hainaut, division Mons","Henegouwen, afdeling Bergen","Hennegau, Abteilung Mons",m18,7000,7399
hainaut_tournai,"Hainaut, division Tournai","Hainaut, division Tournai","Henegouwen, afdeling Doornik","Hennegau, Abteilung Tournai",m26,7500,7999
ghent_bruges,"Ghent, division Bruges","Gand, division Bruges","Gent, afdeling Brugge","Gent, Abteilung Brügge",m05,8000,8399
ghent_ostend,"Ghent, division Ostend","Gand, division Ostende","Gent, afdeling Oostende","Gent, Abteilung Ostende",m22,8400,8499
ghent_kortrijk_1,"Ghent, division Kortrijk","Gand, division Courtrai","Gent, afdeling Kortrijk","Gent, Abteilung Kortrijk",m13,8500,8599
ghent_veurne,"Ghent, division Veurne","Gand, division Veurne","Gent, afdeling Veurne","Gent, Abteilung Veurne",m29,8600,8699
ghent_kortrijk_2,"Ghent, division Kortrijk","Gand, division Courtrai","Gent, afdeling Kortrijk","Gent, Abteilung Kortrijk",m13,8700,8899
ghent_ieper,"Ghent, division Ieper","Gand, division Ypres","Gent, afdeling Ieper","Gent, Abteilung Ypern",m12,8900,8999
ghent_gent_1,"Ghent, division Gent","Gand, division Gand","Gent, afdeling Gent","Gent, Abteilung Gent",m09,9000,9099
ghent_denermonde,"Ghent, division Dendermonde","Gand, division Termonde","Gent, afdeling Dendermonde","Gent, Abteilung Dendermonde",m07,9100,9399
ghent_oudenaarde,"Ghent, division Oudenaarde","Gand, division Audenarde","Gent, afdeling Oudenaarde","Gent, Abteilung Oudenaarde",m23,9700,9799
ghent_gent_2,"Ghent, division Gent","Gand, division Gand","Gent, afdeling Gent","Gent, Abteilung Gent",m09,9900,9999
