id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_l10n_be_reports_vat_return_locking_wizard,access_l10n_be_reports_vat_return_locking_wizard,model_l10n_be_reports_vat_return_lock_wizard,account.group_account_user,1,1,1,0
access_l10n_be_reports_vat_return_submission_wizard,access_l10n_be_reports_vat_return_submission_wizard,model_l10n_be_reports_vat_return_submission_wizard,account.group_account_user,1,1,1,0
access_l10n_be_281_50_user,access_l10n_be_281_50_user,model_l10n_be_form_281_50,account.group_account_user,1,1,1,0
access_l10n_be_281_50_manager,access_l10n_be_281_50_manager,model_l10n_be_form_281_50,account.group_account_manager,1,1,1,1
access_l10n_be_form_325_user,access_l10n_be_form_325_user,model_l10n_be_form_325,account.group_account_user,1,1,1,0
access_l10n_be_form_325_manager,access_l10n_be_form_325_manager,model_l10n_be_form_325,account.group_account_manager,1,1,1,1
access_l10n_be_form_325_wizard,access_l10n_be_form_325_wizard,model_l10n_be_form_325_wizard,account.group_account_user,1,1,1,1
access_l10n_be_reports_vat_pay_wizard_user,access_l10n_be_reports_vat_pay_wizard_user,model_l10n_be_reports_vat_pay_wizard,account.group_account_user,1,1,1,1
access_l10n_be_reports_isoc_prepayment_pay_wizard_user,access_l10n_be_reports_isoc_prepayment_pay_wizard_user,model_l10n_be_reports_isoc_prepayment_pay_wizard,account.group_account_user,1,1,1,1
access_l10n_be_reports_annual_corporate_tax_submission_wizard_user,access_l10n_be_reports_annual_corporate_tax_submission_wizard_user,model_l10n_be_reports_annual_corporate_tax_submission_wizard,account.group_account_user,1,1,1,1
access_l10n_be_reports_vat_listing_submission_wizard_user,access_l10n_be_reports_vat_listing_submission_wizard_user,model_l10n_be_reports_vat_listing_submission_wizard,account.group_account_user,1,1,1,1
access_l10n_be_reports_ec_sales_list_submission_wizard_user,access_l10n_be_reports_ec_sales_list_submission_wizard_user,model_l10n_be_reports_ec_sales_list_submission_wizard,account.group_account_user,1,1,1,1
access_l10n_be_reports_xbrl_export_wizard,access_l10n_be_reports_xbrl_export_wizard,model_l10n_be_reports_xbrl_export_wizard,account.group_account_user,1,1,1,1
access_l10n_be_company_region,access_l10n_be_company_region,model_l10n_be_company_region,account.group_account_user,1,0,0,0
access_l10n_be_company_type,access_l10n_be_company_type,model_l10n_be_company_type,account.group_account_user,1,0,0,0
