id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_l10n_ch_tax_rate_import_wizard,access_l10n_ch_tax_rate_import_wizard,model_l10n_ch_tax_rate_import_wizard,hr_payroll.group_hr_payroll_manager,1,1,1,1
access_l10n_ch_employee_lang_wizard,access_l10n_ch_employee_lang_wizard,model_l10n_ch_hr_payroll_employee_lang_wizard,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_employee_lang_wizard_line,access_l10n_ch_employee_lang_wizard_line,model_l10n_ch_hr_payroll_employee_lang_wizard_line,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_location_unit,access_l10n_ch_location_unit,model_l10n_ch_location_unit,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_hr_employee_children,access_l10n_ch_hr_employee_children,model_l10n_ch_hr_employee_children,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_monthly_summary,access_l10n_ch_monthly_summary,model_l10n_ch_monthly_summary,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_individual_account,access.l10n.ch.individual.account,model_l10n_ch_individual_account,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_social_insurance,access.l10n.ch.social.insurance,model_l10n_ch_social_insurance,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_lpp_insurance,access.l10n.ch.lpp.insurance,model_l10n_ch_lpp_insurance,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_accident_insurance,access.l10n.ch.accident.insurance,model_l10n_ch_accident_insurance,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_additional_accident_insurance,access.l10n.ch.additional.accident.insurance,model_l10n_ch_additional_accident_insurance,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_sickness_insurance,access.l10n.ch.sickness.insurance,model_l10n_ch_sickness_insurance,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_compensation_fund,access.l10n.ch.compensation.fund,model_l10n_ch_compensation_fund,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_compensation_fund_line,access.l10n.ch.compensation.fund.line,model_l10n_ch_compensation_fund_line,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_social_insurance_avs_line,access_l10n_ch_social_insurance_avs_line,model_l10n_ch_social_insurance_avs_line,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_social_insurance_ac_line,access_l10n_ch_social_insurance_ac_line,model_l10n_ch_social_insurance_ac_line,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_accident_insurance_line,access_l10n_ch_accident_insurance_line,model_l10n_ch_accident_insurance_line,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_accident_insurance_line_rate,access_l10n_ch_accident_insurance_line_rate,model_l10n_ch_accident_insurance_line_rate,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_additional_accident_insurance_line,access_l10n_ch_additional_accident_insurance_line,model_l10n_ch_additional_accident_insurance_line,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_additional_accident_insurance_line_rate,access_l10n_ch_additional_accident_insurance_line_rate,model_l10n_ch_additional_accident_insurance_line_rate,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_sickness_insurance_line,access_l10n_ch_sickness_insurance_line,model_l10n_ch_sickness_insurance_line,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_sickness_insurance_line_rate,access_l10n_ch_sickness_insurance_line_rate,model_l10n_ch_sickness_insurance_line_rate,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_social_insurance_avs_retirement_rente,access_l10n_ch_social_insurance_avs_retirement_rente,model_l10n_ch_social_insurance_avs_retirement_rente,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_social_insurance_avs_ac_threshold,access_l10n_ch_social_insurance_avs_ac_threshold,model_l10n_ch_social_insurance_avs_ac_threshold,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_social_insurance_avs_acc_threshold,access_l10n_ch_social_insurance_avs_acc_threshold,model_l10n_ch_social_insurance_avs_acc_threshold,hr_payroll.group_hr_payroll_user,1,1,1,1
access_hr_employee_is_line,access_hr_employee_is_line,model_hr_employee_is_line,hr_payroll.group_hr_payroll_user,1,1,1,1
access_hr_payslip_is_log_line,access_hr_payslip_is_log_line,model_hr_payslip_is_log_line,hr_payroll.group_hr_payroll_user,1,1,1,1
access_ch_yearly_report,access_ch_yearly_report,model_ch_yearly_report,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_is_report,access_l10n_ch_is_report,model_l10n_ch_is_report,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_salary_certificate,access_l10n_ch_salary_certificate,model_l10n_ch_salary_certificate,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_lpp_insurance_line,access_l10n_ch_lpp_insurance_line,model_l10n_ch_lpp_insurance_line,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_source_tax_institution,access_l10n_ch_source_tax_institution,model_l10n_ch_source_tax_institution,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_lpp_mutation,access_l10n_ch_lpp_mutation,model_l10n_ch_lpp_mutation,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_ema_declaration,access_l10n_ch_ema_declaration,model_l10n_ch_ema_declaration,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_avs_splits,access_l10n_ch_avs_splits,model_l10n_ch_avs_splits,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_avs_split_lines,access_l10n_ch_avs_split_lines,model_l10n_ch_avs_split_lines,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_salary_certificate_profile,access_l10n_ch_salary_certificate_profile,model_l10n_ch_salary_certificate_profile,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_employee_yearly_values,access_l10n_ch_employee_yearly_values,model_l10n_ch_employee_yearly_values,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_employee_monthly_values,access_l10n_ch_employee_monthly_values,model_l10n_ch_employee_monthly_values,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_is_mutation,access_l10n_ch_is_mutation,model_l10n_ch_is_mutation,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_hr_contract_wage,access_l10n_ch_hr_contract_wage,model_l10n_ch_hr_contract_wage,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_swissdec_job_result,access_l10n_ch_swissdec_job_result,model_l10n_ch_swissdec_job_result,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_swissdec_transmitter,access_l10n_ch_swissdec_transmitter,model_l10n_ch_swissdec_transmitter,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_lpp_basis_report,access_l10n_ch_lpp_basis_report,model_l10n_ch_lpp_basis_report,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_lpp_basis_report_line,access_l10n_ch_lpp_basis_report_line,model_l10n_ch_lpp_basis_report_line,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_ch_swissdec_declaration,access_l10n_ch_swissdec_declaration,model_l10n_ch_swissdec_declaration,hr_payroll.group_hr_payroll_user,1,1,1,1
