id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_l10n_hk_mpf_scheme_payroll_user,access_l10n_hk_mpf_scheme_payroll_user,model_l10n_hk_mpf_scheme,hr_payroll.group_hr_payroll_user,1,0,0,0
access_l10n_hk_mpf_scheme_payroll_administrator,access_l10n_hk_mpf_scheme_payroll_administrator,model_l10n_hk_mpf_scheme,hr_payroll.group_hr_payroll_manager,1,1,1,1
access_l10n_hk_payroll_group_payroll_user,access_l10n_hk_payroll_group_payroll_user,model_l10n_hk_payroll_group,hr_payroll.group_hr_payroll_user,1,0,0,0
access_l10n_hk_payroll_group_payroll_administrator,access_l10n_hk_payroll_group_payroll_administrator,model_l10n_hk_payroll_group,hr_payroll.group_hr_payroll_manager,1,1,1,1
access_l10n_hk_member_class_payroll_user,access_l10n_hk_member_class_payroll_user,model_l10n_hk_member_class,hr_payroll.group_hr_payroll_user,1,0,0,0
access_l10n_hk_member_class_payroll_administrator,access_l10n_hk_member_class_payroll_administrator,model_l10n_hk_member_class,hr_payroll.group_hr_payroll_manager,1,1,1,1
access_l10n_hk_member_class_contribution_type_payroll_user,access_l10n_hk_member_class_contribution_type_payroll_user,model_l10n_hk_member_class_contribution_type,hr_payroll.group_hr_payroll_user,1,0,0,0
access_l10n_hk_member_class_contribution_type_payroll_administrator,access_l10n_hk_member_class_contribution_type_payroll_administrator,model_l10n_hk_member_class_contribution_type,hr_payroll.group_hr_payroll_manager,1,1,1,1
access_l10n_hk_empf_contribution_report,access_l10n_hk_empf_contribution_report,model_l10n_hk_empf_contribution_report,hr_payroll.group_hr_payroll_user,1,1,1,1
access_l10n_hk_empf_contribution_report_line,access_l10n_hk_empf_contribution_report_line,model_l10n_hk_empf_contribution_report_line,hr_payroll.group_hr_payroll_user,1,1,1,1
