"id","country_id:id","state_id:id","l10n_mx_edi_code","name","name@es_419"
"res_city_mx_agu_001","base.mx","base.state_mx_ags","001","Aguascalientes","Aguascalientes"
"res_city_mx_agu_002","base.mx","base.state_mx_ags","002","Asientos","Asientos"
"res_city_mx_agu_003","base.mx","base.state_mx_ags","003","Calvillo","Calvillo"
"res_city_mx_agu_004","base.mx","base.state_mx_ags","004","Cosío","Cosío"
"res_city_mx_agu_005","base.mx","base.state_mx_ags","005","Jesús María","Jesús María"
"res_city_mx_agu_006","base.mx","base.state_mx_ags","006","Pabellón de Arteaga","Pabellón de Arteaga"
"res_city_mx_agu_007","base.mx","base.state_mx_ags","007","Rincón de Romos","Rincón de Romos"
"res_city_mx_agu_008","base.mx","base.state_mx_ags","008","San José de Gracia","San José de Gracia"
"res_city_mx_agu_009","base.mx","base.state_mx_ags","009","Tepezalá","Tepezalá"
"res_city_mx_agu_010","base.mx","base.state_mx_ags","010","El Llano","El Llano"
"res_city_mx_agu_011","base.mx","base.state_mx_ags","011","San Francisco de los Romo","San Francisco de los Romo"
"res_city_mx_bcn_001","base.mx","base.state_mx_bc","001","Ensenada","Ensenada"
"res_city_mx_bcn_002","base.mx","base.state_mx_bc","002","Mexicali","Mexicali"
"res_city_mx_bcn_003","base.mx","base.state_mx_bc","003","Tecate","Tecate"
"res_city_mx_bcn_004","base.mx","base.state_mx_bc","004","Tijuana","Tijuana"
"res_city_mx_bcn_005","base.mx","base.state_mx_bc","005","Playas de Rosarito","Playas de Rosarito"
"res_city_mx_bcs_001","base.mx","base.state_mx_bcs","001","Comondú","Comondú"
"res_city_mx_bcs_002","base.mx","base.state_mx_bcs","002","Mulegé","Mulegé"
"res_city_mx_bcs_003","base.mx","base.state_mx_bcs","003","La Paz","La Paz"
"res_city_mx_bcs_008","base.mx","base.state_mx_bcs","008","Los Cabos","Los Cabos"
"res_city_mx_bcs_009","base.mx","base.state_mx_bcs","009","Loreto","Loreto"
"res_city_mx_cam_001","base.mx","base.state_mx_camp","001","Calkiní","Calkiní"
"res_city_mx_cam_002","base.mx","base.state_mx_camp","002","Campeche","Campeche"
"res_city_mx_cam_003","base.mx","base.state_mx_camp","003","Carmen","Carmen"
"res_city_mx_cam_004","base.mx","base.state_mx_camp","004","Champotón","Champotón"
"res_city_mx_cam_005","base.mx","base.state_mx_camp","005","Hecelchakán","Hecelchakán"
"res_city_mx_cam_006","base.mx","base.state_mx_camp","006","Hopelchén","Hopelchén"
"res_city_mx_cam_007","base.mx","base.state_mx_camp","007","Palizada","Palizada"
"res_city_mx_cam_008","base.mx","base.state_mx_camp","008","Tenabo","Tenabo"
"res_city_mx_cam_009","base.mx","base.state_mx_camp","009","Escárcega","Escárcega"
"res_city_mx_cam_010","base.mx","base.state_mx_camp","010","Calakmul","Calakmul"
"res_city_mx_cam_011","base.mx","base.state_mx_camp","011","Candelaria","Candelaria"
"res_city_mx_chh_001","base.mx","base.state_mx_chih","001","Ahumada","Ahumada"
"res_city_mx_chh_002","base.mx","base.state_mx_chih","002","Aldama","Aldama"
"res_city_mx_chh_003","base.mx","base.state_mx_chih","003","Allende","Allende"
"res_city_mx_chh_004","base.mx","base.state_mx_chih","004","Aquiles Serdán","Aquiles Serdán"
"res_city_mx_chh_005","base.mx","base.state_mx_chih","005","Ascensión","Ascensión"
"res_city_mx_chh_006","base.mx","base.state_mx_chih","006","Bachíniva","Bachíniva"
"res_city_mx_chh_007","base.mx","base.state_mx_chih","007","Balleza","Balleza"
"res_city_mx_chh_008","base.mx","base.state_mx_chih","008","Batopilas","Batopilas"
"res_city_mx_chh_009","base.mx","base.state_mx_chih","009","Bocoyna","Bocoyna"
"res_city_mx_chh_010","base.mx","base.state_mx_chih","010","Buenaventura","Buenaventura"
"res_city_mx_chh_011","base.mx","base.state_mx_chih","011","Camargo","Camargo"
"res_city_mx_chh_012","base.mx","base.state_mx_chih","012","Carichí","Carichí"
"res_city_mx_chh_013","base.mx","base.state_mx_chih","013","Casas Grandes","Casas Grandes"
"res_city_mx_chh_014","base.mx","base.state_mx_chih","014","Coronado","Coronado"
"res_city_mx_chh_015","base.mx","base.state_mx_chih","015","Coyame del Sotol","Coyame del Sotol"
"res_city_mx_chh_016","base.mx","base.state_mx_chih","016","La Cruz","La Cruz"
"res_city_mx_chh_017","base.mx","base.state_mx_chih","017","Cuauhtémoc","Cuauhtémoc"
"res_city_mx_chh_018","base.mx","base.state_mx_chih","018","Cusihuiriachi","Cusihuiriachi"
"res_city_mx_chh_019","base.mx","base.state_mx_chih","019","Chihuahua","Chihuahua"
"res_city_mx_chh_020","base.mx","base.state_mx_chih","020","Chínipas","Chínipas"
"res_city_mx_chh_021","base.mx","base.state_mx_chih","021","Delicias","Delicias"
"res_city_mx_chh_022","base.mx","base.state_mx_chih","022","Dr. Belisario Domínguez","Dr. Belisario Domínguez"
"res_city_mx_chh_023","base.mx","base.state_mx_chih","023","Galeana","Galeana"
"res_city_mx_chh_024","base.mx","base.state_mx_chih","024","Santa Isabel","Santa Isabel"
"res_city_mx_chh_025","base.mx","base.state_mx_chih","025","Gómez Farías","Gómez Farías"
"res_city_mx_chh_026","base.mx","base.state_mx_chih","026","Gran Morelos","Gran Morelos"
"res_city_mx_chh_027","base.mx","base.state_mx_chih","027","Guachochi","Guachochi"
"res_city_mx_chh_028","base.mx","base.state_mx_chih","028","Guadalupe","Guadalupe"
"res_city_mx_chh_029","base.mx","base.state_mx_chih","029","Guadalupe y Calvo","Guadalupe y Calvo"
"res_city_mx_chh_030","base.mx","base.state_mx_chih","030","Guazapares","Guazapares"
"res_city_mx_chh_031","base.mx","base.state_mx_chih","031","Guerrero","Guerrero"
"res_city_mx_chh_032","base.mx","base.state_mx_chih","032","Hidalgo del Parral","Hidalgo del Parral"
"res_city_mx_chh_033","base.mx","base.state_mx_chih","033","Huejotitán","Huejotitán"
"res_city_mx_chh_034","base.mx","base.state_mx_chih","034","Ignacio Zaragoza","Ignacio Zaragoza"
"res_city_mx_chh_035","base.mx","base.state_mx_chih","035","Janos","Janos"
"res_city_mx_chh_036","base.mx","base.state_mx_chih","036","Jiménez","Jiménez"
"res_city_mx_chh_037","base.mx","base.state_mx_chih","037","Juárez","Juárez"
"res_city_mx_chh_038","base.mx","base.state_mx_chih","038","Julimes","Julimes"
"res_city_mx_chh_039","base.mx","base.state_mx_chih","039","López","López"
"res_city_mx_chh_040","base.mx","base.state_mx_chih","040","Madera","Madera"
"res_city_mx_chh_041","base.mx","base.state_mx_chih","041","Maguarichi","Maguarichi"
"res_city_mx_chh_042","base.mx","base.state_mx_chih","042","Manuel Benavides","Manuel Benavides"
"res_city_mx_chh_043","base.mx","base.state_mx_chih","043","Matachí","Matachí"
"res_city_mx_chh_044","base.mx","base.state_mx_chih","044","Matamoros","Matamoros"
"res_city_mx_chh_045","base.mx","base.state_mx_chih","045","Meoqui","Meoqui"
"res_city_mx_chh_046","base.mx","base.state_mx_chih","046","Morelos","Morelos"
"res_city_mx_chh_047","base.mx","base.state_mx_chih","047","Moris","Moris"
"res_city_mx_chh_048","base.mx","base.state_mx_chih","048","Namiquipa","Namiquipa"
"res_city_mx_chh_049","base.mx","base.state_mx_chih","049","Nonoava","Nonoava"
"res_city_mx_chh_050","base.mx","base.state_mx_chih","050","Nuevo Casas Grandes","Nuevo Casas Grandes"
"res_city_mx_chh_051","base.mx","base.state_mx_chih","051","Ocampo","Ocampo"
"res_city_mx_chh_052","base.mx","base.state_mx_chih","052","Ojinaga","Ojinaga"
