"id","sequence","code","name","name@es_419","country_id:id"
"l10n_mx_contract_type_01","1","01","Indefinite Term Employment Contract","Contrato de trabajo por tiempo indeterminado","base.mx"
"l10n_mx_contract_type_02","2","02","Employment Contract for a Specific Project","Contrato de trabajo para obra determinada","base.mx"
"l10n_mx_contract_type_03","3","03","Fixed-Term Employment Contract","Contrato de trabajo por tiempo determinado","base.mx"
"l10n_mx_contract_type_04","4","04","Seasonal Employment Contract","Contrato de trabajo por temporada","base.mx"
"l10n_mx_contract_type_05","5","05","Employment Contract Subject to Probation","Contrato de trabajo sujeto a prueba","base.mx"
"l10n_mx_contract_type_06","6","06","Employment Contract with Initial Training","Contrato de trabajo con capacitación inicial","base.mx"
"l10n_mx_contract_type_07","7","07","Hourly Wage Employment","Modalidad de contratación por pago de hora laborada","base.mx"
"l10n_mx_contract_type_08","8","08","Commission-Based Employment","Modalidad de trabajo por comisión laboral","base.mx"
"l10n_mx_contract_type_09","9","09","Contracting Modalities Without an Employment Relationship","Modalidades de contratación donde no existe relación de trabajo","base.mx"
"l10n_mx_contract_type_10","10","10","Retirement, Pension, Withdrawal","Jubilación, pensión, retiro.","base.mx"
"l10n_mx_contract_type_99","11","99","Other Contract","Otro contrato","base.mx"
